City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Asău,46.4333,26.4,17.51,48,0,1.08,RO,1655620480
Albany,42.6001,-73.9662,10.33,67,98,0.89,US,1655620345
Santa Rosa,14.3122,121.1114,34.39,56,63,1.08,PH,1655620484
Dikson,73.5069,80.5464,2.01,79,97,5.33,RU,1655620388
Nieuw Amsterdam,5.8833,-55.0833,25.01,89,79,3.71,SR,1655620486
Hermanus,-34.4187,19.2345,12.05,75,14,2.49,ZA,1655620488
Punta Arenas,-53.15,-70.9167,1.33,74,100,4.93,CL,1655620489
Ribeira Grande,38.5167,-28.7,18.22,59,20,8.75,PT,1655620490
Grafenau,48.8577,13.3974,23.86,49,81,2.71,DE,1655620491
Yatou,37.15,122.3833,26.46,68,24,5.43,CN,1655620493
Narganá,9.4428,-78.5906,25.6,86,100,3.02,PA,1655620494
Hong Kong,22.2855,114.1577,30.29,81,100,8.05,HK,1655620326
Haines Junction,60.7522,-137.5108,12.97,44,70,4.63,CA,1655620497
Jamestown,42.097,-79.2353,10.87,71,0,3.09,US,1655620348
Río Gallegos,-51.6226,-69.2181,-3.97,80,0,7.2,AR,1655620500
Kysyl-Syr,63.8986,122.7617,26.25,31,100,3.55,RU,1655620501
Gamba,-2.65,10.0,22.51,82,77,2.9,GA,1655620502
Tiksi,71.6872,128.8694,5.17,89,100,8.69,RU,1655620503
Puerto del Rosario,28.5004,-13.8627,20.86,78,20,3.6,ES,1655620504
Killarney,52.05,-9.5167,11.96,86,98,6.01,IE,1655620506
Fort Nelson,58.8053,-122.7002,14.77,88,75,0.0,CA,1655620507
Chokurdakh,70.6333,147.9167,16.6,47,100,9.57,RU,1655620337
Tasiilaq,65.6145,-37.6368,2.09,86,100,3.96,GL,1655620510
Gandu,-13.7439,-39.4867,16.32,99,35,0.62,BR,1655620512
Ushuaia,-54.8,-68.3,-2.19,93,100,4.12,AR,1655620513
Maniitsoq,65.4167,-52.9,4.03,92,100,3.58,GL,1655620515
Port Alfred,-33.5906,26.891,15.1,81,73,1.34,ZA,1655620516
Puerto Ayora,-0.7393,-90.3518,20.86,96,80,0.89,EC,1655620277
Pierre,44.3683,-100.351,28.8,47,0,8.75,US,1655620519
Hobart,-42.8794,147.3294,12.85,78,40,4.63,AU,1655620323
Esso,55.9333,158.7,14.09,61,79,2.62,RU,1655620522
Gizo Government Station,-8.103,156.8419,28.22,72,65,1.5,SB,1655620523
Port Elizabeth,-33.918,25.5701,11.78,83,0,3.6,ZA,1655620458
Barrow,71.2906,-156.7887,3.01,75,0,4.12,US,1655620298
Kruisfontein,-34.0033,24.7314,9.94,77,0,3.14,ZA,1655620527
Nikolskoye,59.7035,30.7861,18.72,66,60,5.92,RU,1655620528
Mahébourg,-20.4081,57.7,24.16,73,75,7.2,MU,1655620529
Saint Paul Harbor,57.79,-152.4072,10.73,82,100,4.63,US,1655620530
Setúbal,38.5244,-8.8882,17.9,81,0,1.79,PT,1655620532
Igrim,63.1906,64.4162,21.15,66,100,2.89,RU,1655620534
Nemuro,43.3236,145.575,13.97,94,72,6.05,JP,1655620535
Portland,45.5234,-122.6762,12.31,89,97,0.58,US,1655620364
Narsaq,60.9167,-46.05,8.12,98,100,1.77,GL,1655620537
East London,-33.0153,27.9116,14.52,72,0,4.63,ZA,1655620534
Bredasdorp,-34.5322,20.0403,10.36,76,5,2.52,ZA,1655620542
Rikitea,-23.1203,-134.9692,23.65,67,63,4.72,PF,1655620544
Salou,41.0766,1.1416,24.4,69,20,1.54,ES,1655620407
Maragogi,-9.0122,-35.2225,23.88,82,50,1.57,BR,1655620435
Puerto Suárez,-18.95,-57.8,14.99,63,0,0.91,BO,1655620548
Coyhaique,-45.5752,-72.0662,-1.03,93,0,1.03,CL,1655620495
Tondano,1.3038,124.9112,25.05,84,89,1.0,ID,1655620551
Nizhniy Baskunchak,48.2198,46.8311,28.45,28,85,4.33,RU,1655620552
Mezen',65.8522,44.24,10.57,62,100,2.73,RU,1655620553
Charters Towers,-20.1,146.2667,20.99,37,0,3.17,AU,1655620554
Taoudenni,22.6783,-3.9836,32.3,36,99,5.07,ML,1655620556
Diré,12.2833,-10.9667,24.43,81,94,1.46,ML,1655620557
Buala,-8.145,159.5921,27.35,77,23,1.92,SB,1655620558
Dingle,10.9995,122.6711,31.11,65,100,2.14,PH,1655620560
Guerrero Negro,27.9769,-114.0611,17.39,80,0,5.03,MX,1655620512
New Norfolk,-42.7826,147.0587,11.82,74,9,1.79,AU,1655620562
Cidreira,-30.1811,-50.2056,7.17,78,5,2.93,BR,1655620563
Morros,-9.4467,-46.3003,19.44,47,5,1.46,BR,1655620564
Tuktoyaktuk,69.4541,-133.0374,2.29,88,100,5.62,CA,1655620437
Saldanha,-33.0117,17.9442,9.03,73,12,2.15,ZA,1655620567
Boddam,57.4667,-1.7833,11.21,83,100,10.04,GB,1655620568
Vaini,-21.2,-175.2,25.09,88,75,3.6,TO,1655620569
Hasaki,35.7333,140.8333,29.22,83,100,7.77,JP,1655620570
St Johann im Pongau,47.35,13.2,22.5,56,42,2.26,AT,1655620572
Anloga,5.7947,0.8973,25.19,83,100,1.75,GH,1655620574
Dicabisagan,17.0818,122.4157,31.0,68,16,3.98,PH,1655620575
Chui,-33.6971,-53.4616,4.45,67,1,4.04,UY,1655620576
Avarua,-21.2078,-159.775,24.03,64,40,2.57,CK,1655620383
Kapaa,22.0752,-159.319,24.21,86,100,6.69,US,1655620579
Arraial do Cabo,-22.9661,-42.0278,20.4,78,100,7.03,BR,1655620581
Thompson,55.7435,-97.8558,16.09,72,100,2.06,CA,1655620582
Coquimbo,-29.9533,-71.3436,12.85,82,100,1.54,CL,1655620390
Leningradskiy,69.3833,178.4167,6.26,77,96,3.88,RU,1655620584
Ust-Kuyga,70.0167,135.6,16.65,48,42,10.9,RU,1655620586
Busselton,-33.65,115.3333,16.62,62,99,7.59,AU,1655620587
Khorixas,-20.3667,14.9667,14.34,53,0,1.28,NA,1655620588
Lowestoft,52.4752,1.7516,11.77,94,100,4.12,GB,1655620589
Bereket,39.2446,55.5154,31.98,30,0,2.59,TM,1655620591
Lagoa,39.05,-27.9833,16.88,74,0,8.01,PT,1655620593
Tegul'det,57.3064,88.1667,19.78,71,93,0.62,RU,1655620594
Mandera,3.9366,41.867,29.4,39,52,9.28,KE,1655620596
Faya,18.3851,42.4509,27.29,14,49,3.61,SA,1655620597
Petersburg,37.2279,-77.4019,15.67,64,0,2.57,US,1655620598
Ponta do Sol,32.6667,-17.1,19.92,81,61,2.03,PT,1655620566
Sakakah,29.9697,40.2064,33.76,14,0,4.58,SA,1655620600
Severo-Kuril'sk,50.6789,156.125,9.42,94,100,1.37,RU,1655620601
Sabzawār,36.2126,57.6819,29.6,26,0,5.14,IR,1655620603
Mataura,-46.1927,168.8643,6.93,96,99,0.77,NZ,1655620569
Tagusao,9.1924,117.8141,29.62,66,100,1.97,PH,1655620607
Atuona,-9.8,-139.0333,25.47,75,11,8.97,PF,1655620570
Ermelo,-26.5333,29.9833,11.58,36,0,2.55,ZA,1655620401
Cape Town,-33.9258,18.4232,9.52,94,20,4.12,ZA,1655620502
Egvekinot,66.3167,-179.1667,6.15,72,56,2.25,RU,1655620613
Bilibino,68.0546,166.4372,18.29,38,100,1.18,RU,1655620614
Zhitnevo,55.3423,37.9146,19.18,55,0,5.0,RU,1655620615
Tornio,65.8481,24.1466,10.01,75,100,5.83,FI,1655620318
Puerto Baquerizo Moreno,-0.9,-89.6,21.24,88,69,6.18,EC,1655620617
Sur,22.5667,59.5289,35.99,48,0,0.61,OM,1655620619
Pangnirtung,66.1451,-65.7125,0.26,75,89,1.93,CA,1655620620
Butaritari,3.0707,172.7902,27.38,79,6,2.97,KI,1655620569
Arawa,-6.2132,155.5367,26.84,84,41,0.94,PG,1655620625
Yacuiba,-22.038,-63.6797,7.78,60,0,1.56,BO,1655620627
Ancud,-41.8697,-73.8203,5.13,90,100,2.33,CL,1655620628
Khatanga,71.9667,102.5,7.84,55,100,5.36,RU,1655620629
Bluff,-46.6,168.3333,7.11,74,100,6.33,NZ,1655620631
Saskylakh,71.9167,114.0833,6.81,56,100,10.59,RU,1655620632
San Quintín,30.4833,-115.95,16.01,85,0,6.05,MX,1655620634
Camacha,33.0833,-16.3333,16.68,94,75,6.69,PT,1655620635
Uíge,-7.6087,15.0613,19.02,70,36,0.8,AO,1655620636
Qaanaaq,77.484,-69.3632,0.86,79,100,2.92,GL,1655620637
Kaohsiung City,22.6163,120.3133,32.25,69,75,4.12,TW,1655620639
Hilo,19.7297,-155.09,23.12,85,100,1.54,US,1655620640
Karratha,-20.7377,116.8463,28.27,41,0,1.81,AU,1655620641
Yermakovskoye,53.2831,92.4003,24.58,39,18,1.77,RU,1655620642
George Town,5.4112,100.3354,28.96,78,40,3.6,MY,1655620643
Port-Cartier,50.0334,-66.8654,8.65,78,100,6.14,CA,1655620645
Sena Madureira,-9.0656,-68.6569,20.58,100,100,1.06,BR,1655620647
Hudson Bay,52.85,-102.3842,19.83,98,33,1.44,CA,1655620648
Iquitos,-3.7481,-73.2472,23.02,100,40,1.03,PE,1655620543
Guarapari,-20.6667,-40.4975,21.61,91,53,5.0,BR,1655620395
Dryden,49.7833,-92.7503,16.16,51,100,6.69,CA,1655620652
Bambous Virieux,-20.3428,57.7575,24.14,73,75,7.2,MU,1655620545
Noumea,-22.2763,166.4572,23.33,99,87,6.8,NC,1655620654
San Jose,37.3394,-121.895,12.58,67,20,3.09,US,1655620402
Port Macquarie,-31.4333,152.9167,15.24,85,100,5.21,AU,1655620656
Grand Gaube,-20.0064,57.6608,24.65,68,32,3.58,MU,1655620657
Nioro,13.35,-15.75,25.62,81,89,3.44,GM,1655620659
Saint-Philippe,-21.3585,55.7679,23.77,68,2,4.73,RE,1655620520
Rovaniemi,66.5,25.7167,12.67,54,0,7.2,FI,1655620661
Galle,6.0367,80.217,28.77,68,100,3.73,LK,1655620662
Kromy,52.6876,35.7667,19.63,67,100,5.77,RU,1655620663
Mogoytuy,51.2833,114.9167,24.46,59,100,2.44,RU,1655620515
Huarmey,-10.0681,-78.1522,16.62,84,14,2.79,PE,1655620630
Toamasina,-18.1667,49.3833,21.0,94,75,4.12,MG,1655620666
Marsh Harbour,26.5412,-77.0636,27.12,75,88,4.11,BS,1655620532
Marsá Maţrūḩ,31.3525,27.2453,24.11,78,40,5.14,EG,1655620669
Pisco,-13.7,-76.2167,11.03,93,4,2.06,PE,1655620484
Buchanan,5.8808,-10.0467,24.3,83,41,1.76,LR,1655620569
Dakoro,14.5106,6.765,29.2,48,97,5.98,NE,1655620672
Oranjestad,12.524,-70.027,26.97,78,40,9.26,AW,1655620673
La Palma,33.8464,-118.0467,17.2,76,0,2.06,US,1655620674
Poum,-20.2333,164.0167,23.95,79,13,9.3,NC,1655620676
Geraldton,-28.7667,114.6,20.23,73,75,7.72,AU,1655620495
Port Hardy,50.6996,-127.4199,12.1,87,75,1.54,CA,1655620678
Harper,4.375,-7.7169,25.17,80,100,1.63,LR,1655620679
Cherskiy,68.75,161.3,13.61,48,18,1.31,RU,1655620681
Kahului,20.8947,-156.47,25.82,70,40,9.77,US,1655620682
Baruun-Urt,46.6806,113.2792,35.28,16,100,9.28,MN,1655620683
Mount Gambier,-37.8333,140.7667,11.53,70,100,5.81,AU,1655620684
Yellowknife,62.456,-114.3525,14.29,72,20,2.06,CA,1655620408
Lebu,-37.6167,-73.65,8.69,87,100,4.56,CL,1655620687
Aklavik,68.2191,-135.0107,7.35,76,91,6.87,CA,1655620688
Madarounfa,13.3087,7.156,29.06,50,17,4.92,NE,1655620689
Flinders,-34.5833,150.8552,14.92,81,84,4.18,AU,1655620690
Hithadhoo,-0.6,73.0833,28.05,68,100,0.22,MV,1655620566
Kiama,-34.6833,150.8667,15.02,85,90,0.45,AU,1655620693
Atar,20.5169,-13.0499,27.62,65,90,3.07,MR,1655620695
Krasnosel'kup,65.7,82.4667,21.96,33,30,4.9,RU,1655620515
St. George's,12.0564,-61.7485,25.82,83,40,3.09,GD,1655620697
Aketi,2.7388,23.7833,21.15,97,100,0.38,CD,1655620698
Lerwick,60.1545,-1.1494,10.0,85,29,8.52,GB,1655620700
Mar del Plata,-38.0023,-57.5575,4.78,65,0,3.6,AR,1655620433
Torbay,47.6666,-52.7314,13.54,89,100,9.77,CA,1655620533
Pereslavl'-Zalesskiy,56.7393,38.8563,15.46,86,100,6.44,RU,1655620703
Nome,64.5011,-165.4064,19.04,34,20,5.66,US,1655620653
Halvad,23.0167,71.1833,36.14,43,46,5.27,IN,1655620705
Kavieng,-2.5744,150.7967,28.03,75,32,3.24,PG,1655620707
Boquira,-12.8231,-42.7306,16.56,50,10,0.77,BR,1655620709
Cham,47.1821,8.4636,24.36,68,0,0.51,CH,1655620710
Strezhevoy,60.7333,77.5889,25.25,33,6,2.65,RU,1655620711
Magaria,12.9983,8.9099,29.36,46,100,4.18,NE,1655620712
Talnakh,69.4865,88.3972,12.34,25,23,1.4,RU,1655620714
Vilyuysk,63.7553,121.6247,27.06,29,82,3.38,RU,1655620715
Beringovskiy,63.05,179.3167,10.47,66,100,5.65,RU,1655620716
Sémbé,1.6481,14.5806,22.65,87,98,0.84,CG,1655620717
Itoman,26.1247,127.6694,29.25,84,75,5.14,JP,1655620719
Danané,7.2596,-8.155,19.29,96,76,0.91,CI,1655620720
Māgadi,12.9667,77.2333,27.71,61,100,1.78,IN,1655620721
Shelburne,44.0787,-80.2041,8.58,54,6,3.26,CA,1655620723
Airai,-8.9266,125.4092,21.31,55,66,1.56,TL,1655620725
Vondrozo,-22.8167,47.2833,17.02,80,73,1.44,MG,1655620726
Kaitangata,-46.2817,169.8464,6.87,86,89,3.5,NZ,1655620727
Ashta,23.0167,76.7167,33.51,40,100,3.86,IN,1655620728
Saint George,37.1041,-113.5841,22.46,9,0,3.09,US,1655620463
Macao,22.2006,113.5461,28.86,89,40,4.63,MO,1655620731
Santander,43.4647,-3.8044,17.45,90,40,2.68,ES,1655620466
Kingisepp,59.3733,28.6134,17.11,63,56,6.5,RU,1655620733
Farafangana,-22.8167,47.8333,21.29,73,39,2.87,MG,1655620734
